7.098,183.7,62
12.431,171.4,92.5
7.672,130.8,74.4
2.66,30.1,93
0.665,12,96.1
0.359,1.5,96
0.052,0,96.1
0.53,1.7,127.1
0.206,23.3,114
0.706,26.2,136.4
0.571,9.1,156
2.863,126.3,120.9
4.29,131.4,83.7
15.299,206.3,67.2
8.396,135,99.2
1.11,30.8,105
1.865,3.6,111.6
0.239,2.4,114
0.072,0,111.6
1.035,4.3,136.4
1.362,0.6,195
1.342,3.9,173.6
0.138,23.9,159
1.201,157,108.5
13.963,161.1,74.4
4.193,85.4,92.4
7.621,201,80.6
3.098,44.8,99
0.405,1.5,108.5
0.165,0,102
0.227,0.4,130.2
0.159,2.2,133.3
0.181,25.5,129
0.506,23.9,151.9
1.146,44.3,150
3.795,52.4,139.5
6.31,159.3,96.1
12.385,130.6,86.8
9.402,136,89.9
2.923,45.7,87
0.111,10.1,96.1
0.322,6,99
0.158,2.1,96.1
0.12,6.9,117.8
0.322,14.7,114
0.754,27.1,145.7
0.677,55,162
4.241,103.2,114.7
12.422,159.3,95.7
11.702,130.6,92.5
3.51,136,104.4
6.272,45.7,105.7
2.137,10.1,113.4
1.173,6,102.2
0.238,2.1,106.8
0.582,6.9,126.5
1.712,14.7,133.1
0.484,27.1,139.3
3.319,55,135.5
0.676,103.2,123.8
2.87,198.5,110.8
15.157,231.8,85.2
9.078,134.4,79.4
1.895,22,102.1
1.536,20.4,102.8
0.479,1.9,104.5
0.081,0,94.9
0.338,2.3,116.7
1.515,5,119.2
0.221,15.7,149.9
0.135,12.7,150.3
3.202,109.6,86.8
9.97,139.6,69.7
6.403,103.1,55.9
9.308,112.3,157.3
0.448,17.1,118.4
0.15,15.5,89.6
0.279,10.6,79.5
0.09,4.2,88.3
0.755,21.8,114.4
0.939,56.3,91.1
0.504,1.7,98
0.177,0.6,118.5
0.807,84.5,111.3
2.181,59.1,138.6
5.613,170.8,70.4
9.03,163.3,91.1
1.262,9,111
0.126,10.8,108.8
0.086,0,93.1
0.011,5.1,105.6
0.017,0,149.7
0.184,18.8,124.6
0.886,19.3,128.6
1.55,85.2,108.5
1.523,45.7,127
6.527,290.9,85.2
5.515,58.6,121
1.239,116.5,131.9
1.825,84.8,107.4
0.223,0,123.2
0.544,4.5,94
0.106,0,108.3
0.072,0,139.6
0.076,5.6,139.2
0.003,10,133.2
1.112,110.6,105.2
3.746,145.4,95.6
6.635,168,81.6
5.59,81.4,93.9
7.617,158.5,102.1
1.569,26.5,97.1
0.193,0,102.6
0.099,0,115.6
0.14,2.6,102.5
0.149,1,127.8
0.242,1,147.4
0.835,31.8,143.8
0.604,55.9,143.7
1.779,119,89.8
3.428,74,131.8
3.456,92,99.7
5.906,197.4,73
2.211,15.8,114.4
0.158,2.6,105
0.014,0,113.9
0.05,3.1,112.7
0.397,9.5,132.4
0.56,38.9,133.5
1.987,104.6,108.6
1.641,15.6,142
1.278,42.9,132.1
6.156,233.1,81.3
8.825,183.6,108.5
11.688,104,109
3.186,93.6,104.2
0.469,0.5,109
0.539,0,105.7
0.487,0,108.1
0.831,41.2,104.4
0.832,12.3,101.7
1.087,27.3,143.3
0.668,46.8,131.4
1.645,112.5,116.6
10.835,204.6,84.1
2.615,82.7,106.7
5.302,141.8,87.7
3.728,33,123
0.406,0.2,143.2
0.047,0,106.4
0.096,0,126.8
0.624,2.9,116.4
0.993,42.1,109
2.104,65,140.1
4.046,131.9,104.3
2.461,24.7,161.2
1.329,48.4,153.8
1.154,66.6,136.7
1.571,57.6,158.5
